droplet_id,volume,mass,ux,uy,uz,vx,vy,vz
1069,1.941682e-18,1.935857e-15,1.984932e-04,-1.023197e-05,5.446256e-04,-3.276701e-02,-3.787718e-02,1.694962e+00
1075,2.342109e-16,2.335083e-13,2.018456e-04,-1.234458e-05,5.308434e-04,7.574965e-02,-3.062727e-01,8.224101e+00
1081,1.298844e-17,1.294947e-14,1.202214e-04,1.429587e-05,4.810802e-04,1.194029e+00,-6.615101e-01,6.228909e+00
1087,5.040592e-17,5.025470e-14,1.106810e-04,1.026111e-05,4.783606e-04,3.750942e-01,3.468640e-01,-2.796629e-01
1093,7.022890e-19,7.001821e-16,1.585867e-04,2.460940e-05,4.910578e-04,7.265653e-02,4.434501e-01,3.483928e+00
1099,3.337130e-18,3.327119e-15,1.492228e-04,1.584191e-06,4.921631e-04,-1.957788e-01,5.009540e-01,1.148544e+01
1105,3.265777e-17,3.255980e-14,1.359452e-04,-2.681116e-06,4.815957e-04,-1.731151e+00,1.692180e+00,1.855181e+00
1111,2.055292e-18,2.049126e-15,1.953200e-04,1.015201e-05,5.438044e-04,-6.397274e-02,1.242931e-01,3.138425e+00
1117,5.144090e-19,5.128658e-16,1.027344e-04,-7.541550e-07,4.738643e-04,1.279983e+00,-3.738896e-01,-1.529061e+00
1123,1.188627e-18,1.185061e-15,1.937483e-04,-1.797005e-05,5.262216e-04,-3.012642e-02,8.518609e-02,8.239514e+00
1129,9.824300e-18,9.794827e-15,1.541923e-04,2.428835e-05,4.841960e-04,-3.669505e-02,3.617856e-02,1.595598e+00
1135,1.295141e-17,1.291255e-14,1.737328e-04,1.642573e-05,5.050586e-04,-2.003206e-01,-6.409206e-01,3.159422e+00
1141,2.348239e-16,2.341194e-13,1.712704e-04,8.965279e-06,5.067171e-04,-6.562246e-01,-3.309491e-01,1.081817e+01
1147,5.400311e-18,5.384110e-15,1.578148e-04,1.015239e-05,4.980564e-04,7.090352e-02,-3.071861e-01,1.364735e+01
1153,2.326096e-18,2.319118e-15,1.570125e-04,1.015603e-05,4.945795e-04,-1.969277e-01,7.703330e-02,1.334218e+01
1159,6.710412e-17,6.690281e-14,1.901064e-04,-1.492677e-05,5.049250e-04,1.007309e+00,7.477222e-01,8.400991e+00
1165,5.912151e-19,5.894415e-16,1.722654e-04,-2.070398e-05,4.820243e-04,1.839078e+00,-6.600108e-01,6.415425e+00
1171,4.957902e-17,4.943028e-14,1.427249e-04,-1.373610e-06,4.806791e-04,-5.814976e-01,4.489211e-01,-1.744929e+00
1177,1.048368e-16,1.045223e-13,1.830632e-04,-5.995182e-06,5.228362e-04,-3.682682e-01,-9.654527e-01,7.751318e+00
1183,5.253004e-19,5.237245e-16,1.300787e-04,6.641399e-06,4.828271e-04,-3.054916e-01,5.103617e-01,7.744204e+00
1189,8.452272e-18,8.426915e-15,1.367342e-04,5.127949e-06,4.833945e-04,-8.460006e-01,-1.023476e+00,1.274156e+00
1195,1.558223e-18,1.553548e-15,1.191407e-04,2.735018e-06,4.796230e-04,8.153063e-01,-1.847810e-01,6.108419e+00
1201,9.894352e-19,9.864669e-16,2.007827e-04,-6.267096e-06,5.462355e-04,6.719378e-03,-2.229330e-01,-1.401064e+00
1207,2.802852e-18,2.794443e-15,1.335651e-04,1.250329e-05,4.836463e-04,-8.701818e-01,-2.616707e-01,8.165974e+00
1213,1.176010e-18,1.172482e-15,1.867701e-04,3.126940e-06,5.254272e-04,-1.355524e-01,-1.465958e-01,7.329607e+00
1219,5.464900e-18,5.448505e-15,1.671874e-04,2.346641e-06,4.972469e-04,2.896816e-02,1.230455e-01,5.600490e+00
1225,1.572508e-17,1.567790e-14,1.519298e-04,3.948404e-06,4.884543e-04,-1.358469e-01,-9.298766e-01,1.756967e+01
1231,5.543216e-18,5.526587e-15,1.960924e-04,-2.441435e-05,4.994368e-04,1.435399e-02,-1.695433e-01,1.957144e+00
1237,4.528114e-18,4.514530e-15,1.768807e-04,-1.016501e-05,4.921684e-04,-3.678545e-01,-1.209088e-01,-1.887781e-01
